Unité urbaine 2020;Libellé géographique de l'unité urbaine 2020;Tranche d'unité urbaine 2020 calculée sur la population 2017;Tranche détaillée d'unité urbaine 2020 calculée sur la population 2017;Type d'unité urbaine;Nombre communes
UU2020;LIBUU2020;TUU2017;TDUU2017;TYPE_UU2020;NB_COM
24109;Nontron;1;13;2;2
24110;Thiviers;1;13;2;2
24111;Ribérac;1;14;2;2
24112;Lalinde;1;14;2;5
24201;Saint-Astier;2;21;2;2
24202;Mussidan;2;22;2;6
24203;Sarlat-la-Canéda;2;22;1;1
24501;Périgueux;5;51;2;7
25000;Communes hors unité urbaine du département 25;0;00;0;486
25101;Colombier-Fontaine;1;11;2;2
25102;Val-d'Usiers;1;11;1;1
25103;Arcey;1;11;2;2
25104;Le Russey;1;11;1;1
25105;Montferrand-le-Château;1;12;2;2
25106;Les Auxons;1;12;1;1
25107;Charquemont;1;12;1;1
25108;L'Isle-sur-le-Doubs;1;13;2;2
25109;Saône;1;13;2;2
25110;Ornans;1;14;1;1
25111;Roche-lez-Beaupré;1;14;2;3
25112;Maîche;1;14;2;2
25113;Saint-Vit;1;14;1;1
25114;Villers-le-Lac;1;14;1;1
25201;Baume-les-Dames;2;21;1;1
25202;Valdahon;2;21;1;1
25203;Pont-de-Roide-Vermondans;2;21;2;3
25204;Pouilley-les-Vignes;2;21;2;5
25301;Morteau;3;31;2;2
25401;Pontarlier;4;41;2;4
25601;Besançon;6;61;2;13
26000;Communes hors unité urbaine du département 26;0;00;0;302
26101;Suze-la-Rousse;1;11;1;1
26102;Buis-les-Baronnies;1;11;1;1
26103;Allex;1;12;1;1
26104;Saint-Jean-en-Royans;1;13;2;2
26105;Anneyron;1;13;1;1
26106;Dieulefit;1;14;2;2
26107;Montélier;1;14;1;1
26108;Saint-Donat-sur-l'Herbasse;1;14;1;1
26109;Die;1;14;1;1
26110;Châteauneuf-du-Rhône;1;14;2;2
26201;Donzère;2;21;1;1
26202;Nyons;2;21;1;1
26203;Chabeuil;2;21;1;1
26204;Beaumont-lès-Valence;2;22;2;4
26301;Saint-Paul-Trois-Châteaux;3;31;2;2
26302;Pierrelatte;3;31;1;1
26303;Crest;3;31;2;5
26304;Livron-sur-Drôme;3;32;2;3
26501;Romans-sur-Isère;5;51;2;6
27000;Communes hors unité urbaine du département 27;0;00;0;487
27101;La Couture-Boussey;1;11;1;1
27102;La Bonneville-sur-Iton;1;12;2;2
27103;Rugles;1;12;2;2
27104;Routot;1;13;2;3
27105;La Saussaye;1;13;2;2
27106;La Haye-Malherbe;1;13;2;3
27107;Le Thuit de l'Oison;1;13;1;1
27108;Gasny;1;13;2;2
27109;Étrépagny;1;13;1;1
27110;Pîtres;1;13;2;2
27111;Bourg-Achard;1;13;1;1
27112;Saint-André-de-l'Eure;1;13;1;1
27113;Breteuil;1;14;1;1
27114;Fleury-sur-Andelle;1;14;2;3
27115;Le Neubourg;1;14;2;2
27116;Romilly-sur-Andelle;1;14;2;3
27117;Brionne;1;14;2;2
27201;Pont-de-l'Arche;2;21;2;2
27202;Beaumont-le-Roger;2;21;2;4
27203;Mesnils-sur-Iton;2;21;1;1
27204;Conches-en-Ouche;2;21;2;4
27205;Pacy-sur-Eure;2;22;2;4
27206;Verneuil d'Avre et d'Iton;2;22;1;1
27207;Les Andelys;2;22;2;2
27301;Bernay;3;31;2;2
27302;Pont-Audemer;3;32;2;6
27303;Gaillon;3;32;2;5
27401;Vernon;4;43;2;3
27402;Louviers;4;43;2;7
27501;Évreux;5;51;2;4
28000;Communes hors unité urbaine du département 28;0;00;0;305
28101;Abondant;1;11;1;1
28102;Toury;1;12;1;1
28103;Châteauneuf-en-Thymerais;1;12;1;1
28104;Saint-Georges-sur-Eure;1;12;1;1
28105;Courville-sur-Eure;1;12;1;1
28106;Senonches;1;13;1;1
28107;Illiers-Combray;1;13;1;1
28108;La Loupe;1;13;2;2
28109;Les Villages Vovéens;1;13;1;1
28110;Jouy;1;13;2;2
28201;Brou;2;21;2;2
28202;Bonneval;2;21;1;1
28203;Cloyes-les-Trois-Rivières;2;21;1;1
28204;Gallardon;2;21;2;3
28205;Auneau-Bleury-Saint-Symphorien;2;21;1;1
28206;Maintenon;2;22;2;2
28207;Nogent-le-Roi;2;22;2;5
28208;Nogent-le-Rotrou;2;22;1;1
28301;Châteaudun;3;32;2;4
28401;Dreux;4;44;2;6
28501;Chartres;5;52;2;9
29000;Communes hors unité urbaine du département 29;0;00;0;166
29101;Saint-Pabu;1;11;1;1
29102;Lampaul-Plouarzel;1;11;1;1
29103;Kerlouan;1;11;1;1
29104;Hôpital-Camfrout;1;11;1;1
29105;Plonéis;1;11;1;1
29106;Camaret-sur-Mer;1;12;1;1
29107;Névez;1;12;1;1
29108;Le Conquet;1;12;1;1
29109;Pont-Aven;1;12;1;1
29110;Plouvorn;1;12;1;1
29111;Plozévet;1;12;1;1
29112;Saint-Thégonnec Loc-Eguiner;1;13;1;1
29113;Pleyber-Christ;1;13;1;1
29114;Lanmeur;1;13;2;2
29115;Saint-Thonan;1;13;2;2
29116;Plougasnou;1;13;2;2
29117;Plouescat;1;13;1;1
29118;Saint-Évarzec;1;13;1;1
29119;Bourg-Blanc;1;13;1;1
29120;Landéda;1;13;1;1
29121;Pleyben;1;13;1;1
29122;Châteauneuf-du-Faou;1;13;1;1
29123;Loperhet;1;13;1;1
29124;Plouvien;1;13;1;1
29125;Cléder;1;13;1;1
29126;Pont-de-Buis-lès-Quimerch;1;13;1;1
29127;Plomelin;1;14;1;1
29128;Plougonvelin;1;14;1;1
29129;Riec-sur-Bélon;1;14;1;1
29130;Milizac-Guipronvel;1;14;1;1
29131;Carantec;1;14;2;2
29201;Locmaria-Plouzané;2;21;1;1
29202;Plouigneau;2;21;1;1
29203;Porspoder;2;21;2;4
29204;Scaër;2;21;1;1
29205;Châteaulin;2;21;2;2
29206;Bannalec;2;21;1;1
29207;Plonéour-Lanvern;2;21;1;1
29208;Ploudalmézeau;2;21;1;1
29209;Crozon;2;22;1;1
29210;Plouhinec-Audierne;2;22;2;2
29211;Rosporden;2;22;1;1
29212;Briec;2;22;2;2
29213;Guilers;2;22;1;1
29214;Saint-Renan;2;22;1;1
29215;Plabennec;2;22;1;1
29301;Moëlan-sur-Mer;3;31;2;2
29302;Landivisiau;3;31;2;2
29303;Plouguerneau-Lannilis;3;31;2;2
29304;Saint-Pol-de-Léon;3;31;2;3
29305;Lesneven;3;31;2;4
29306;Douarnenez;3;31;1;1
29307;Quimperlé;3;31;2;2
29308;Pont-l'Abbé;3;31;2;4
29309;Landerneau;3;32;2;3
29401;Penmarch;4;41;2;7
29402;Fouesnant;4;41;2;6
29403;Morlaix;4;42;2;4
29404;Concarneau;4;42;2;2
29501;Quimper;5;52;2;3
29701;Brest;7;71;2;7
2A000;Communes hors unité urbaine du département 2A;0;00;0;110
2A101;Bonifacio;1;13;1;1
2A102;Grosseto-Prugna;1;13;1;1
2A103;Sartène;1;13;1;1
2A104;Albitreccia;1;13;2;2
2A105;Bastelicaccia;1;13;1;1
2A106;Propriano;1;14;2;2
2A301;Porto-Vecchio;3;31;1;1
2A501;Ajaccio;5;52;2;5
2B000;Communes hors unité urbaine du département 2B;0;00;0;210
2B101;Prunelli-di-Fiumorbo;1;13;1;1
2B102;Ghisonaccia;1;14;1;1
2B103;L'Île-Rousse;1;14;2;2
2B201;Calvi;2;21;1;1
2B202;Corte;2;22;1;1
2B203;Penta-di-Casinca;2;22;2;7
2B401;Borgo;4;41;2;6
2B501;Bastia;5;51;2;7
30000;Communes hors unité urbaine du département 30;0;00;0;228
30101;Saint-Victor-la-Coste;1;11;1;1
30102;Fons;1;11;2;2
30103;La Calmette;1;11;1;1
30104;Aubord;1;11;1;1
30105;Le Cailar;1;11;1;1
30106;Saint-Jean-du-Gard;1;11;1;1
30107;Connaux;1;12;2;2
30108;Saint-Quentin-la-Poterie;1;13;2;2
30109;Saint-Laurent-d'Aigouze;1;13;1;1
30110;Quissac;1;13;2;2
30111;Saint-Geniès-de-Malgoirès;1;13;2;2
30112;Jonquières-Saint-Vincent;1;13;1;1
30113;Poulx;1;13;1;1
30114;Saint-Hippolyte-du-Fort;1;13;1;1
30115;Générac;1;14;1;1
30116;Aramon;1;14;1;1
30117;Clarensac;1;14;1;1
30118;Bessèges;1;14;2;3
30119;Beauvoisin;1;14;1;1
30120;Garons;1;14;1;1
